Tabelle: 61111-0001
Consumer price index: Germany, years;;
Consumer price index for Germany;;;;
Germany;;;;
;Consumer price index;;Annual change;
;2020=100;2020=100;in (%);in (%)
2000;75.5;e;1.3;e
2001;77.0;e;2.0;e
2002;78.1;e;1.4;e
2003;78.9;e;1.0;e
2004;80.2;e;1.6;e
2005;81.5;e;1.6;e
2006;82.8;e;1.6;e
2007;84.7;e;2.3;e
2008;86.9;e;2.6;e
2009;87.2;e;0.3;e
2010;88.1;e;1.0;e
2011;90.0;e;2.2;e
2012;91.7;e;1.9;e
2013;93.1;e;1.5;e
2014;94.0;e;1.0;e
2015;94.5;e;0.5;e
2016;95.0;e;0.5;e
2017;96.4;e;1.5;e
2018;98.1;e;1.8;e
2019;99.5;e;1.4;e
2020;100.0;e;0.5;e
2021;103.1;e;3.1;e
2022;110.2;e;6.9;e
2023;116.7;e;5.9;e
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:29:25
