Tabelle: 12521-0002
Foreigners: Germany, reference date, sex/age years/marital;;;;
status, country groups/citizenship;;;;
Statistics of foreigners;;;;;;;
Germany;;;;;;;
Foreigners (number);;;;;;;
;;Sex;;;;;
;;Male;;Female;;Total;
2000-12-31;Total;3959376;e;3337441;e;7296817;e
;videlicet:;;;;;;
;Europe;3155602;e;2702107;e;5857709;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1456057;e;1215062;e;2671119;e
;EU-28 third countries (until 2020-01-31);2503319;e;2122379;e;4625698;e
;EU-27 (until 2013-06-30);1344361;e;1109931;e;2454292;e
;EU-27 third countries (until 2013-06-30);2615015;e;2227510;e;4842525;e
;EU-25 (until 2006-12-31);1276140;e;1053699;e;2329839;e
;EU-25 third countries (until 2006-12-31);2683236;e;2283742;e;4966978;e
;EU-15 (until 2004-04-30);1041803;e;830852;e;1872655;e
;EU-15 third countries (until 2004-04-30);2917573;e;2506589;e;5424162;e
;EC-12 (until 1994-12-31);925829;e;724306;e;1650135;e
;EC-12 third countries (until 1994-12-31);3033547;e;2613135;e;5646682;e
;EC-10 (until 1985-12-31);782148;e;604790;e;1386938;e
;EC-10 third countries (until 1985-12-31);3177228;e;2732651;e;5909879;e
;EC-9 (until 1980-12-31);581405;e;440095;e;1021500;e
;EC-9 third countries (until 1980-12-31);3377971;e;2897346;e;6275317;e
;EEC-6 (until 1972-12-31);496500;e;375587;e;872087;e
;EEC-6 third countries (until 1972-12-31);3462876;e;2961854;e;6424730;e
;Africa;193936;e;104980;e;298916;e
;North Africa;90654;e;47362;e;138016;e
;West Africa;54104;e;21189;e;75293;e
;Central Africa;19782;e;10910;e;30692;e
;East Africa;19337;e;18417;e;37754;e
;Southern Africa;10059;e;7102;e;17161;e
;America;102207;e;111024;e;213231;e
;North America;71124;e;54547;e;125671;e
;Central America and Caribbean;9485;e;15202;e;24687;e
;South America;21598;e;41275;e;62873;e
;Asia;457076;e;383777;e;840853;e
;South West Asia;181379;e;120353;e;301732;e
;South and South East Asia;152141;e;144079;e;296220;e
;East and Central Asia;123556;e;119345;e;242901;e
;Australia and Oceania;5531;e;4858;e;10389;e
;Countries of origin of foreign workers;2458520;e;1998334;e;4456854;e
;Territory of former Yugoslavia;597671;e;508552;e;1106223;e
;Territory of former Serbia and Montenegro;-;;-;;-;
