Tabelle: 12711-0002
Total migration across the borders of the Länder: Germany,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
years, nationality, sex, age years;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Germans;;;;;;;;;;;;;;;;;;Foreigners;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;
;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;
;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
2008;under 1 year;4338;e;3465;e;873;e;4044;e;3312;e;732;e;8382;e;6777;e;1605;e;1340;e;566;e;774;e;1282;e;562;e;720;e;2622;e;1128;e;1494;e;5678;e;4031;e;1647;e;5326;e;3874;e;1452;e;11004;e;7905;e;3099;e
;1 year;8666;e;8593;e;73;e;8016;e;7901;e;115;e;16682;e;16494;e;188;e;2409;e;1408;e;1001;e;2350;e;1385;e;965;e;4759;e;2793;e;1966;e;11075;e;10001;e;1074;e;10366;e;9286;e;1080;e;21441;e;19287;e;2154;e
;2 years;7115;e;7434;e;-319;e;6606;e;6955;e;-349;e;13721;e;14389;e;-668;e;2166;e;1502;e;664;e;2010;e;1346;e;664;e;4176;e;2848;e;1328;e;9281;e;8936;e;345;e;8616;e;8301;e;315;e;17897;e;17237;e;660;e
;3 years;6367;e;6927;e;-560;e;6213;e;6690;e;-477;e;12580;e;13617;e;-1037;e;1998;e;1517;e;481;e;1885;e;1409;e;476;e;3883;e;2926;e;957;e;8365;e;8444;e;-79;e;8098;e;8099;e;-1;e;16463;e;16543;e;-80;e
;4 years;5403;e;6052;e;-649;e;5089;e;5650;e;-561;e;10492;e;11702;e;-1210;e;1860;e;1546;e;314;e;1790;e;1441;e;349;e;3650;e;2987;e;663;e;7263;e;7598;e;-335;e;6879;e;7091;e;-212;e;14142;e;14689;e;-547;e
;5 years;5051;e;5710;e;-659;e;4647;e;5259;e;-612;e;9698;e;10969;e;-1271;e;1723;e;1529;e;194;e;1710;e;1508;e;202;e;3433;e;3037;e;396;e;6774;e;7239;e;-465;e;6357;e;6767;e;-410;e;13131;e;14006;e;-875;e
;6 years;4685;e;5585;e;-900;e;4395;e;5341;e;-946;e;9080;e;10926;e;-1846;e;1612;e;1614;e;-2;e;1557;e;1524;e;33;e;3169;e;3138;e;31;e;6297;e;7199;e;-902;e;5952;e;6865;e;-913;e;12249;e;14064;e;-1815;e
;7 years;3992;e;4727;e;-735;e;3817;e;4403;e;-586;e;7809;e;9130;e;-1321;e;1563;e;1434;e;129;e;1452;e;1279;e;173;e;3015;e;2713;e;302;e;5555;e;6161;e;-606;e;5269;e;5682;e;-413;e;10824;e;11843;e;-1019;e
;8 years;3742;e;4232;e;-490;e;3573;e;4047;e;-474;e;7315;e;8279;e;-964;e;1497;e;1298;e;199;e;1439;e;1165;e;274;e;2936;e;2463;e;473;e;5239;e;5530;e;-291;e;5012;e;5212;e;-200;e;10251;e;10742;e;-491;e
;9 years;3393;e;3778;e;-385;e;3189;e;3536;e;-347;e;6582;e;7314;e;-732;e;1567;e;1431;e;136;e;1529;e;1305;e;224;e;3096;e;2736;e;360;e;4960;e;5209;e;-249;e;4718;e;4841;e;-123;e;9678;e;10050;e;-372;e
;10 years;3610;e;4020;e;-410;e;3613;e;3929;e;-316;e;7223;e;7949;e;-726;e;1558;e;1383;e;175;e;1492;e;1316;e;176;e;3050;e;2699;e;351;e;5168;e;5403;e;-235;e;5105;e;5245;e;-140;e;10273;e;10648;e;-375;e
;11 years;3263;e;3616;e;-353;e;3136;e;3469;e;-333;e;6399;e;7085;e;-686;e;1570;e;1368;e;202;e;1434;e;1245;e;189;e;3004;e;2613;e;391;e;4833;e;4984;e;-151;e;4570;e;4714;e;-144;e;9403;e;9698;e;-295;e
;12 years;3096;e;3373;e;-277;e;2867;e;3174;e;-307;e;5963;e;6547;e;-584;e;1539;e;1320;e;219;e;1504;e;1270;e;234;e;3043;e;2590;e;453;e;4635;e;4693;e;-58;e;4371;e;4444;e;-73;e;9006;e;9137;e;-131;e
;13 years;2770;e;3049;e;-279;e;2689;e;2954;e;-265;e;5459;e;6003;e;-544;e;1523;e;1229;e;294;e;1414;e;1221;e;193;e;2937;e;2450;e;487;e;4293;e;4278;e;15;e;4103;e;4175;e;-72;e;8396;e;8453;e;-57;e
;14 years;2789;e;3036;e;-247;e;2593;e;2813;e;-220;e;5382;e;5849;e;-467;e;1585;e;1319;e;266;e;1458;e;1238;e;220;e;3043;e;2557;e;486;e;4374;e;4355;e;19;e;4051;e;4051;e;0;e;8425;e;8406;e;19;e
