Tabelle: 12241-9000
EU-SILC - Persons covered and persons extrapolated,;;;;;;
equivalised net income, at-risk-of-poverty rate:;;;;;;
Germany, years (until 2019), sex, age groups;;;;;;
Income and living conditions (EU-SILC);;;;;;;;;;
Germany;;;;;;;;;;
;;;Persons covered;;Persons extrapolated;;Equivalised net income (median);;At-risk-of-poverty rate;
;;;number;number;1000;1000;EUR/year;EUR/year;percent;percent
2008;Male;16 to under 18 years;348;e;968;e;17723;e;19.0;()
;;18 to under 25 years;960;e;3510;e;18731;e;18.0;e
;;25 to under 50 years;4321;e;13873;e;20103;e;12.8;e
;;50 to under 65 years;2996;e;7518;e;20565;e;16.0;e
;;65 years and over;3072;e;7578;e;17147;e;12.0;e
;;Total;13940;e;39952;e;18777;e;14.2;e
;Female;16 to under 18 years;305;e;755;e;16541;e;18.0;e
;;18 to under 25 years;969;e;3446;e;16692;e;22.4;e
;;25 to under 50 years;5074;e;15283;e;19370;e;14.0;e
;;50 to under 65 years;3313;e;8001;e;19275;e;17.6;e
;;65 years and over;3093;e;8245;e;16029;e;17.4;e
;;Total;14964;e;41405;e;17909;e;16.2;e
;Total;16 to under 18 years;653;e;1723;e;17118;e;18.6;e
;;18 to under 25 years;1929;e;6956;e;17678;e;20.2;e
;;25 to under 50 years;9395;e;29156;e;19767;e;13.4;e
;;50 to under 65 years;6309;e;15519;e;19845;e;16.8;e
;;65 years and over;6165;e;15823;e;16498;e;14.9;e
;;Total;28904;e;81358;e;18309;e;15.2;e
2009;Male;16 to under 18 years;322;e;950;e;17294;e;17.8;()
;;18 to under 25 years;914;e;3407;e;18192;e;17.9;e
;;25 to under 50 years;4329;e;13885;e;20571;e;13.3;e
;;50 to under 65 years;2952;e;7447;e;20798;e;16.6;e
;;65 years and over;2971;e;7660;e;17470;e;12.9;e
;;Total;13771;e;39852;e;18927;e;14.7;e
;Female;16 to under 18 years;293;e;746;e;16567;e;16.5;()
;;18 to under 25 years;930;e;3470;e;17239;e;24.4;e
;;25 to under 50 years;4926;e;14954;e;19782;e;14.8;e
;;50 to under 65 years;3343;e;8274;e;19278;e;16.8;e
;;65 years and over;2966;e;8314;e;16223;e;17.0;e
;;Total;14597;e;41239;e;18219;e;16.3;e
;Total;16 to under 18 years;615;e;1697;e;16977;e;17.2;()
;;18 to under 25 years;1844;e;6877;e;17784;e;21.2;e
;;25 to under 50 years;9255;e;28839;e;20186;e;14.1;e
;;50 to under 65 years;6295;e;15720;e;20087;e;16.7;e
;;65 years and over;5937;e;15974;e;16804;e;15.0;e
;;Total;28368;e;81091;e;18586;e;15.5;e
2010;Male;16 to under 18 years;289;e;785;e;17244;e;16.2;()
;;18 to under 25 years;910;e;3445;e;18363;e;16.0;e
;;25 to under 50 years;4219;e;13710;e;20790;e;13.3;e
;;50 to under 65 years;2976;e;7585;e;21052;e;17.2;e
;;65 years and over;2950;e;7724;e;17692;e;12.1;e
;;Total;13601;e;39741;e;19186;e;14.9;e
