,2014 offence or offence category,2014 recorded cases,2014 clearance rate %,2015 offence or offence category,2015 recorded cases,2015 clearance rate %,2016 offence or offence category,2016 recorded cases,2016 clearance rate %,2017 offence or offence category,2017 recorded cases,2017 clearance rate %,2018 offence or offence category,2018 recorded cases,2018 clearance rate %,2019 offence or offence category,2019 recorded cases,2019 clearance rate %,2020 offence or offence category,2020 recorded cases,2020 clearance rate %,2021 offence or offence category,2021 recorded cases,2021 clearance rate %,2022 offence or offence category,2022 recorded cases,2022 clearance rate %,2023 offence or offence category,2023 recorded cases,2023 clearance rate %
0,7.0,0.0,0.0,6.0,0.0,4.0,3.0,0.0,1.0,7.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0,1.0,1.6833126650593275e-05,0.0
1,17.0,0.0,1.0,13.0,0.0,2.0,24.0,0.0,6.0,17.0,0.0,5.0,14.0,0.0,3.0,17.0,0.0,4.0,18.0,0.0,5.0,20.0,0.0,4.0,24,0.0,8,24.0,0.0004039950396142386,5.0
2,698.0,0.0,245.0,756.0,0.0,272.0,686.0,0.0,239.0,737.0,0.0,231.0,680.0,0.0,237.0,662.0,0.0,236.0,791.0,0.0,263.0,786.0,0.0,240.0,748,0.0,270,703.0,0.011833688035367072,245.0
3,85.0,0.0,15.0,119.0,0.0,33.0,138.0,0.0,43.0,110.0,0.0,31.0,102.0,0.0,28.0,76.0,0.0,22.0,97.0,0.0,32.0,83.0,0.0,27.0,93,0.0,26,98.0,0.0016496464117581409,36.0
4,80.0,0.0,14.0,85.0,0.0,21.0,102.0,0.0,32.0,78.0,0.0,24.0,79.0,0.0,20.0,72.0,0.0,20.0,93.0,0.0,32.0,80.0,0.0,27.0,92,0.0,26,90.0,0.0015149813985533948,34.0
5,2.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1,0.0,0,6.0,0.00010099875990355964,1.0
6,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.6833126650593275e-05,0.0
7,2.0,0.0,1.0,27.0,0.0,10.0,35.0,0.0,11.0,21.0,0.0,5.0,17.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,1.6833126650593275e-05,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,126470.0,2.1288855275005316,35744.0
9,46982.0,0.8,12761.0,46081.0,0.7,13039.0,47401.0,0.7,13100.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118196,2.1,33298,39029.0,0.6569801000460049,11089.0
10,12537.0,0.2,3484.0,12405.0,0.2,3684.0,14492.0,0.2,4225.0,56047.0,1.0,15569.0,63782.0,1.1,18111.0,69881.0,1.3,19850.0,81630.0,1.5,22478.0,106656.0,2.1,30076.0,37076,0.7,10566,12186.0,0.20512848136412967,3329.0
11,7345.0,0.1,1994.0,7022.0,0.1,2023.0,7919.0,0.1,2224.0,24523.0,0.4,6905.0,29952.0,0.5,8488.0,29606.0,0.5,8538.0,29419.0,0.6,8248.0,29836.0,0.6,8592.0,11896,0.2,3325,11633.0,0.19581976232635157,3157.0
12,1316.0,0.0,307.0,1134.0,0.0,318.0,1132.0,0.0,320.0,11282.0,0.2,3098.0,9234.0,0.2,2563.0,9426.0,0.2,2682.0,9752.0,0.2,2584.0,9903.0,0.2,2725.0,11228,0.2,3121,9868.0,0.16610929378805445,2687.0
