,2014 offence or offence category,2014 sex,2014 total suspects number,2014 children under 21,2014 adults 21>,2015 offence or offence category,2015 sex,2015 total suspects number,2015 children under 21,2015 adults 21>,2016 offence or offence category,2016 sex,2016 total suspects number,2016 children under 21,2016 adults 21>,2017 offence or offence category,2017 sex,2017 total suspects number,2017 children under 21,2017 adults 21>,2018 offence or offence category,2018 sex,2018 total suspects number,2018 children under 21,2018 adults 21>,2019 offence or offence category,2019 sex,2019 total suspects number,2019 children under 21,2019 adults 21>,2020 offence or offence category,2020 sex,2020 total suspects number,2020 children under 21,2020 adults 21>,2021 offence or offence category,2021 sex,2021 total suspects number,2021 children under 21,2021 adults 21>,2022 offence or offence category,2022 sex,2022 total suspects number,2022 children under 21,2022 adults 21>,2023 offence or offence category,2023 sex,2023 total suspects number,2023 children under 21,2023 adults 21>
0,total offences,m %,74.30742161912701,73.02078343711746,74.64899845045944,total offences,m,1781388.0,398757.0,1382631.0,total offences,m,1767739.0,398176.0,1369563.0,total offences,m,1586137.0,346678.0,1239459.0,total offences,m,1541130.0,323574.0,1217556.0,total offences,M,1514667.0,319055.0,1195612.0,total offences,M,1481252.0,293491.0,1187761.0,total offences,M,1419594.0,278509.0,1141085.0,total offences,M,1565240,324371,1240869,total offences,m,1675541.0,350328.0,1325213.0
1,total offences,f %,25.692578380872984,26.979216562882534,25.351001549540552,total offences,f,587648.0,130065.0,457583.0,total offences,f,593067.0,134324.0,458743.0,total offences,f,526578.0,113961.0,412617.0,total offences,f,510136.0,109983.0,400153.0,total offences,W,504544.0,108691.0,395853.0,total offences,W,488365.0,98174.0,390191.0,total offences,W,472409.0,95970.0,376439.0,total offences,W,528542,118871,409671,total offences,f,571226.0,132456.0,438770.0
2,total offences,x %,100.0,20.978607157744296,79.0213928422557,total offences,x,2369036.0,528822.0,1840214.0,total offences,x,2360806.0,532500.0,1828306.0,total offences,x,2112715.0,460639.0,1652076.0,total offences,x,2051266.0,433557.0,1617709.0,total offences,X,2019211.0,427746.0,1591465.0,total offences,X,1969617.0,391665.0,1577952.0,total offences,X,1892003.0,374479.0,1517524.0,total offences,X,2093782,443242,1650540,total offences,x,2246767.0,482784.0,1763983.0
3,total offences,m,1597241.0,329277.0,1267964.0,offences against life,m,2911.0,373.0,2538.0,offences against life,m,3116.0,429.0,2687.0,offences against life,m,3078.0,450.0,2628.0,offences against life,m,3122.0,499.0,2623.0,offences against life,M,3212.0,516.0,2696.0,offences against life,M,3037.0,427.0,2610.0,offences against life,M,2851.0,454.0,2397.0,offences against life,M,2950,491,2459,offences against life,w,3090.0,520.0,2570.0
4,total offences,f,552263.0,121659.0,430604.0,offences against life,f,586.0,40.0,546.0,offences against life,f,649.0,40.0,609.0,offences against life,f,635.0,43.0,592.0,offences against life,f,599.0,46.0,553.0,offences against life,W,626.0,57.0,569.0,offences against life,W,612.0,41.0,571.0,offences against life,W,668.0,45.0,623.0,offences against life,W,589,49,540,offences against life,f,645.0,57.0,588.0
5,total offences,x,2149504.0,450936.0,1698568.0,offences against life,x,3497.0,413.0,3084.0,offences against life,x,3765.0,469.0,3296.0,offences against life,x,3713.0,493.0,3220.0,offences against life,x,3721.0,545.0,3176.0,offences against life,X,3838.0,573.0,3265.0,offences against life,X,3649.0,468.0,3181.0,offences against life,X,3519.0,499.0,3020.0,offences against life,X,3539,540,2999,offences against life,m,3735.0,577.0,3158.0
6,offences against life,m,3083.0,367.0,2716.0,murder (sect. 211 PC),m,641.0,85.0,556.0,murder (sect. 211 PC),m,678.0,87.0,591.0,murder (sect. 211 PC),m,718.0,100.0,618.0,murder (sect. 211 PC),m,746.0,115.0,631.0,murder (sect. 211 PC),M,782.0,134.0,648.0,murder (sect. 211 PC),M,664.0,94.0,570.0,murder (sect. 211 PC),M,635.0,89.0,546.0,murder (sect. 211 PC),M,654,105,549,murder (sect. 211 PC),x,705.0,96.0,609.0
7,offences against life,f,601.0,61.0,540.0,murder (sect. 211 PC),f,90.0,11.0,79.0,murder (sect. 211 PC),f,106.0,10.0,96.0,murder (sect. 211 PC),f,105.0,14.0,91.0,murder (sect. 211 PC),f,107.0,12.0,95.0,murder (sect. 211 PC),W,102.0,20.0,82.0,murder (sect. 211 PC),W,99.0,10.0,89.0,murder (sect. 211 PC),W,89.0,11.0,78.0,murder (sect. 211 PC),W,109,12,97,murder (sect. 211 PC),f,119.0,20.0,99.0
8,offences against life,x,3684.0,428.0,3256.0,murder (sect. 211 PC),x,731.0,96.0,635.0,murder (sect. 211 PC),x,784.0,97.0,687.0,murder (sect. 211 PC),x,823.0,114.0,709.0,murder (sect. 211 PC),x,853.0,127.0,726.0,murder (sect. 211 PC),X,884.0,154.0,730.0,murder (sect. 211 PC),X,763.0,104.0,659.0,murder (sect. 211 PC),X,724.0,100.0,624.0,murder (sect. 211 PC),X,763,117,646,murder (sect. 211 PC),w,824.0,116.0,708.0
9,murder (sect. 211 PC),m,699.0,87.0,612.0,other types of murder,m,577.0,71.0,506.0,other types of murder,m,598.0,74.0,524.0,other types of murder,m,651.0,81.0,570.0,other types of murder,m,661.0,102.0,559.0,other types of murder,M,721.0,112.0,609.0,other types of murder,M,620.0,83.0,537.0,other types of murder,M,584.0,77.0,507.0,other types of murder,M,604,88,516,other types of murder,m,657.0,89.0,568.0
