Tabelle: 63121-0001
Income and expenditure of households (Continuous household;;;;;;;;;
budget surveys): Germany, years, household size;;;;;;;;;
Continuous household budget surveys: househ. book;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Household size;;;;;;;;;;;
;;;;Households with 1 person;;Households with 2 persons;;Households with 3 persons;;Households with 4 persons;;Households with 5 or more persons;;Total;
2000;Households covered;;number;1602;e;2106;e;870;e;1039;e;-;;5757;e
;Households extrapolated;;1000;12666;e;11935;e;4939;e;3865;e;-;;34777;e
;Average amount per household and month;Household gross income;EUR;1965;e;3458;e;4631;e;4787;e;-;;3303;e
;;Household net income;EUR;1538;e;2763;e;3555;e;3616;e;-;;2538;e
;;Disposable income and receipts;EUR;1572;e;2931;e;3635;e;3691;e;-;;2642;e
;;Household final consumption expenditure;EUR;1210;e;2131;e;2537;e;2567;e;-;;1938;e
;;Other expenditure;EUR;798;e;1578;e;1964;e;1896;e;-;;1417;e
2001;Households covered;;number;1502;e;2303;e;892;e;981;e;-;;5793;e
;Households extrapolated;;1000;12866;e;12150;e;4678;e;3826;e;-;;35009;e
;Average amount per household and month;Household gross income;EUR;1990;e;3534;e;4679;e;5017;e;-;;3352;e
;;Household net income;EUR;1559;e;2858;e;3633;e;3890;e;-;;2646;e
;;Disposable income and receipts;EUR;1607;e;2913;e;3720;e;3966;e;-;;2709;e
;;Household final consumption expenditure;EUR;1233;e;2158;e;2595;e;2646;e;-;;1952;e
;;Other expenditure;EUR;654;e;1439;e;2061;e;1796;e;-;;1309;e
2002;Households covered;;number;1511;e;2314;e;887;e;955;e;159;e;5826;e
;Households extrapolated;;1000;13200;e;12153;e;4706;e;3811;e;1377;e;35247;e
;Average amount per household and month;Household gross income;EUR;2002;e;3582;e;4441;e;5112;e;5169;e;3332;e
;;Household net income;EUR;1581;e;2911;e;3454;e;3964;e;4179;e;2649;e
;;Disposable income and receipts;EUR;1616;e;2971;e;3543;e;4040;e;4250;e;2705;e
;;Household final consumption expenditure;EUR;1271;e;2224;e;2485;e;2675;e;2789;e;1973;e
;;Other expenditure;EUR;490;e;1167;e;1252;e;1581;e;1416;e;979;e
2003;Households covered;;number;1365;e;2343;e;895;e;936;e;177;e;5715;e
;Households extrapolated;;1000;13358;e;12288;e;4648;e;3741;e;1338;e;35373;e
;Average amount per household and month;Household gross income;EUR;2035;e;3531;e;4470;e;5220;e;5524;e;3343;e
;;Household net income;EUR;1609;e;2868;e;3486;e;3971;e;4406;e;2649;e
;;Disposable income and receipts;EUR;1641;e;2935;e;3550;e;4075;e;4486;e;2706;e
;;Household final consumption expenditure;EUR;1290;e;2204;e;2497;e;2667;e;2875;e;1972;e
;;Other expenditure;EUR;603;e;1227;e;1688;e;1759;e;2243;e;1147;e
2004;Households covered;;number;1392;e;2381;e;936;e;895;e;207;e;5811;e
;Households extrapolated;;1000;13486;e;12363;e;4636;e;3716;e;1326;e;35528;e
;Average amount per household and month;Household gross income;EUR;2012;e;3527;e;4629;e;5260;e;5960;e;3368;e
;;Household net income;EUR;1598;e;2855;e;3588;e;4032;e;4717;e;2666;e
;;Disposable income and receipts;EUR;1630;e;2918;e;3642;e;4137;e;4804;e;2722;e
;;Household final consumption expenditure;EUR;1302;e;2213;e;2481;e;2705;e;3158;e;1989;e
;;Other expenditure;EUR;684;e;1340;e;1535;e;1797;e;2681;e;1214;e
2005;Households covered;;number;1888;e;3137;e;1272;e;950;e;332;e;7579;e
;Households extrapolated;;1000;13619;e;12390;e;4734;e;3524;e;1289;e;35555;e
;Average amount per household and month;Household gross income;EUR;2113;e;3693;e;4778;e;5408;e;6267;e;3496;e
;;Household net income;EUR;1678;e;2982;e;3691;e;4162;e;4975;e;2766;e
;;Disposable income and receipts;EUR;1707;e;3041;e;3753;e;4227;e;5063;e;2816;e
;;Household final consumption expenditure;EUR;1294;e;2210;e;2517;e;2810;e;3227;e;1996;e
;;Other expenditure;EUR;997;e;1769;e;1839;e;2363;e;2377;e;1564;e
2006;Households covered;;number;2007;e;3248;e;1234;e;926;e;309;e;7724;e
;Households extrapolated;;1000;14056;e;12440;e;4595;e;3546;e;1249;e;35887;e
;Average amount per household and month;Household gross income;EUR;2149;e;3722;e;4764;e;5430;e;6045;e;3489;e
;;Household net income;EUR;1716;e;3001;e;3675;e;4191;e;4793;e;2764;e
;;Disposable income and receipts;EUR;1752;e;3071;e;3747;e;4303;e;4877;e;2826;e
;;Household final consumption expenditure;EUR;1358;e;2335;e;2630;e;2924;e;3525;e;2089;e
;;Other expenditure;EUR;1020;e;1838;e;1921;e;2534;e;2761;e;1629;e
2007;Households covered;;number;2004;e;3372;e;1159;e;876;e;286;e;7697;e
;Households extrapolated;;1000;14148;e;12752;e;4521;e;3460;e;1225;e;36105;e
;Average amount per household and month;Household gross income;EUR;2139;e;3834;e;4993;e;5742;e;6355;e;3584;e
;;Household net income;EUR;1707;e;3107;e;3818;e;4426;e;5019;e;2839;e
;;Disposable income and receipts;EUR;1755;e;3166;e;3885;e;4526;e;5114;e;2900;e
;;Household final consumption expenditure;EUR;1352;e;2292;e;2594;e;2965;e;3496;e;2067;e
;;Other expenditure;EUR;1022;e;2143;e;2169;e;2586;e;2527;e;1763;e
2009;Households covered;;number;2029;e;3156;e;1344;e;949;e;264;e;7742;e
;Households extrapolated;;1000;14868;e;12605;e;4580;e;3324;e;1144;e;36521;e
;Average amount per household and month;Household gross income;EUR;2282;e;3993;e;5120;e;5937;e;7070;e;3711;e
;;Household net income;EUR;1780;e;3148;e;3852;e;4484;e;5445;e;2873;e
;;Disposable income and receipts;EUR;1811;e;3203;e;3929;e;4558;e;5572;e;2925;e
;;Household final consumption expenditure;EUR;1411;e;2414;e;2750;e;3160;e;3713;e;2156;e
;;Other expenditure;EUR;987;e;2003;e;2069;e;2158;e;2662;e;1633;e
2010;Households covered;;number;2089;e;3218;e;1261;e;894;e;254;e;7716;e
;Households extrapolated;;1000;15092;e;12796;e;4392;e;3214;e;1146;e;36640;e
;Average amount per household and month;Household gross income;EUR;2282;e;4084;e;5429;e;5980;e;6930;e;3758;e
;;Household net income;EUR;1784;e;3227;e;4113;e;4548;e;5372;e;2922;e
;;Disposable income and receipts;EUR;1823;e;3288;e;4203;e;4638;e;5482;e;2981;e
;;Household final consumption expenditure;EUR;1416;e;2441;e;2873;e;3134;e;3599;e;2168;e
;;Other expenditure;EUR;943;e;1783;e;2295;e;2081;e;2511;e;1547;e
2011;Households covered;;number;2163;e;3326;e;1132;e;859;e;226;e;7706;e
;Households extrapolated;;1000;15129;e;13033;e;4261;e;3246;e;1033;e;36701;e
;Average amount per household and month;Household gross income;EUR;2371;e;4240;e;5649;e;5992;e;7194;e;3871;e
;;Household net income;EUR;1843;e;3323;e;4230;e;4541;e;5536;e;2988;e
;;Disposable income and receipts;EUR;1881;e;3397;e;4311;e;4625;e;5695;e;3052;e
;;Household final consumption expenditure;EUR;1461;e;2536;e;2981;e;3215;e;4207;e;2252;e
;;Other expenditure;EUR;976;e;1831;e;2081;e;2236;e;2539;e;1563;e
2012;Households covered;;number;2184;e;3371;e;1064;e;816;e;207;e;7642;e
;Households extrapolated;;1000;15294;e;12922;e;4435;e;3166;e;1081;e;36897;e
;Average amount per household and month;Household gross income;EUR;2415;e;4392;e;5793;e;6364;e;7091;e;3989;e
;;Household net income;EUR;1871;e;3434;e;4334;e;4775;e;5461;e;3069;e
;;Disposable income and receipts;EUR;1911;e;3501;e;4426;e;4874;e;5606;e;3133;e
;;Household final consumption expenditure;EUR;1479;e;2628;e;3103;e;3365;e;3909;e;2310;e
;;Other expenditure;EUR;948;e;1918;e;2223;e;2307;e;3226;e;1624;e
2014;Households covered;;number;2055;e;3239;e;1274;e;840;e;238;e;7646;e
;Households extrapolated;;1000;15307;e;12841;e;4283;e;3138;e;1082;e;36650;e
;Average amount per household and month;Household gross income;EUR;2497;e;4559;e;5873;e;6578;e;7151;e;4101;e
;;Household net income;EUR;1913;e;3544;e;4406;e;4981;e;5580;e;3147;e
;;Disposable income and receipts;EUR;1955;e;3605;e;4497;e;5088;e;5661;e;3208;e
;;Household final consumption expenditure;EUR;1519;e;2692;e;3151;e;3647;e;3979;e;2375;e
;;Other expenditure;EUR;1025;e;1966;e;2109;e;2599;e;2811;e;1669;e
2015;Households covered;;number;2087;e;3337;e;1176;e;822;e;226;e;7648;e
;Households extrapolated;;1000;15788;e;12918;e;4272;e;3105;e;1124;e;37207;e
;Average amount per household and month;Household gross income;EUR;2549;e;4694;e;6035;e;6862;e;7257;e;4196;e
;;Household net income;EUR;1953;e;3647;e;4544;e;5163;e;5646;e;3218;e
;;Disposable income and receipts;EUR;1988;e;3715;e;4625;e;5254;e;5726;e;3276;e
;;Household final consumption expenditure;EUR;1531;e;2738;e;3164;e;3627;e;4124;e;2391;e
;;Other expenditure;EUR;1070;e;1994;e;2309;e;2752;e;2321;e;1711;e
2016;Households covered;;number;2157;e;3404;e;1098;e;787;e;210;e;7656;e
;Households extrapolated;;1000;15650;e;12922;e;4404;e;3254;e;1150;e;37381;e
;Average amount per household and month;Household gross income;EUR;2624;e;4862;e;6067;e;7001;e;7572;e;4337;e
