"Month";"Index of import prices"
"2010-01-01 01:00:00";87,5
"2010-02-01 01:00:00";88,2
"2010-03-01 01:00:00";89,5
"2010-04-01 02:00:00";91,1
"2010-05-01 02:00:00";91,8
"2010-06-01 02:00:00";92,6
"2010-07-01 02:00:00";92,4
"2010-08-01 02:00:00";92,5
"2010-09-01 02:00:00";92,7
"2010-10-01 02:00:00";92,3
"2010-11-01 01:00:00";93,1
"2010-12-01 01:00:00";94,9
"2011-01-01 01:00:00";96,1
"2011-02-01 01:00:00";96,9
"2011-03-01 01:00:00";98
"2011-04-01 02:00:00";98,1
"2011-05-01 02:00:00";97,6
"2011-06-01 02:00:00";97,1
"2011-07-01 02:00:00";97,6
"2011-08-01 02:00:00";97,1
"2011-09-01 02:00:00";97,5
"2011-10-01 02:00:00";97,4
"2011-11-01 01:00:00";97,9
"2011-12-01 01:00:00";98,3
"2012-01-01 01:00:00";99,5
"2012-02-01 01:00:00";100,2
"2012-03-01 01:00:00";100,7
"2012-04-01 02:00:00";100,4
"2012-05-01 02:00:00";100
"2012-06-01 02:00:00";98,6
"2012-07-01 02:00:00";99
"2012-08-01 02:00:00";100
"2012-09-01 02:00:00";99,3
"2012-10-01 02:00:00";98,8
"2012-11-01 01:00:00";98,8
"2012-12-01 01:00:00";98,3
"2013-01-01 01:00:00";98,2
"2013-02-01 01:00:00";98,5
"2013-03-01 01:00:00";98,5
"2013-04-01 02:00:00";97,5
"2013-05-01 02:00:00";97,1
"2013-06-01 02:00:00";96,4
"2013-07-01 02:00:00";96,5
"2013-08-01 02:00:00";96,6
"2013-09-01 02:00:00";96,6
"2013-10-01 02:00:00";96
"2013-11-01 01:00:00";96,1
"2013-12-01 01:00:00";96,1
"2014-01-01 01:00:00";96
"2014-02-01 01:00:00";95,9
"2014-03-01 01:00:00";95,3
"2014-04-01 02:00:00";95,1
"2014-05-01 02:00:00";95,1
"2014-06-01 02:00:00";95,3
"2014-07-01 02:00:00";94,9
"2014-08-01 02:00:00";94,8
"2014-09-01 02:00:00";95,1
"2014-10-01 02:00:00";94,8
"2014-11-01 01:00:00";94,1
"2014-12-01 01:00:00";92,5
"2015-01-01 01:00:00";91,7
"2015-02-01 01:00:00";92,8
"2015-03-01 01:00:00";93,7
"2015-04-01 02:00:00";94,1
"2015-05-01 02:00:00";94,1
"2015-06-01 02:00:00";93,5
"2015-07-01 02:00:00";93
"2015-08-01 02:00:00";91,7
"2015-09-01 02:00:00";91,1
"2015-10-01 02:00:00";90,7
"2015-11-01 01:00:00";90,5
"2015-12-01 01:00:00";89,5
"2016-01-01 01:00:00";88,3
"2016-02-01 01:00:00";87,6
"2016-03-01 01:00:00";88,2
"2016-04-01 02:00:00";88,1
"2016-05-01 02:00:00";88,7
"2016-06-01 02:00:00";89,2
"2016-07-01 02:00:00";89,3
"2016-08-01 02:00:00";89,2
"2016-09-01 02:00:00";89,1
"2016-10-01 02:00:00";89,9
"2016-11-01 01:00:00";90,6
"2016-12-01 01:00:00";92,3
"2017-01-01 01:00:00";92,9
"2017-02-01 01:00:00";93,5
"2017-03-01 01:00:00";93,2
"2017-04-01 02:00:00";93,1
"2017-05-01 02:00:00";92,2
"2017-06-01 02:00:00";91,3
"2017-07-01 02:00:00";90,9
"2017-08-01 02:00:00";90,9
"2017-09-01 02:00:00";91,6
"2017-10-01 02:00:00";92,1
"2017-11-01 01:00:00";92,8
"2017-12-01 01:00:00";92,9
"2018-01-01 01:00:00";93,5
"2018-02-01 01:00:00";93
"2018-03-01 01:00:00";92,9
"2018-04-01 02:00:00";93,5
"2018-05-01 02:00:00";94,9
"2018-06-01 02:00:00";95,3
"2018-07-01 02:00:00";95,3
"2018-08-01 02:00:00";95,3
"2018-09-01 02:00:00";95,6
"2018-10-01 02:00:00";96,5
"2018-11-01 01:00:00";95,6
"2018-12-01 01:00:00";94,4
"2019-01-01 01:00:00";94,2
"2019-02-01 01:00:00";94,5
"2019-03-01 01:00:00";94,5
"2019-04-01 02:00:00";94,8
"2019-05-01 02:00:00";94,7
"2019-06-01 02:00:00";93,4
"2019-07-01 02:00:00";93,2
"2019-08-01 02:00:00";92,7
"2019-09-01 02:00:00";93,2
"2019-10-01 02:00:00";93,1
"2019-11-01 01:00:00";93,6
"2019-12-01 01:00:00";93,8
"2020-01-01 01:00:00";93,4
"2020-02-01 01:00:00";92,6
"2020-03-01 01:00:00";89,3
"2020-04-01 02:00:00";87,8
"2020-05-01 02:00:00";88,1
"2020-06-01 02:00:00";88,6
"2020-07-01 02:00:00";88,9
"2020-08-01 02:00:00";89
"2020-09-01 02:00:00";89,3
"2020-10-01 02:00:00";89,5
"2020-11-01 01:00:00";90
"2020-12-01 01:00:00";90,5
"2021-01-01 01:00:00";92,3
"2021-02-01 01:00:00";93,4
"2021-03-01 01:00:00";94,7
"2021-04-01 02:00:00";95,8
"2021-05-01 02:00:00";97
"2021-06-01 02:00:00";98,4
"2021-07-01 02:00:00";100,4
"2021-08-01 02:00:00";101,5
"2021-09-01 02:00:00";102,7
"2021-10-01 02:00:00";106
"2021-11-01 01:00:00";108,2
"2021-12-01 01:00:00";109,6
"2022-01-01 01:00:00";112,7
"2022-02-01 01:00:00";113,7
"2022-03-01 01:00:00";119,8
"2022-04-01 02:00:00";121,4
"2022-05-01 02:00:00";122,7
"2022-06-01 02:00:00";122,9
"2022-07-01 02:00:00";125,1
"2022-08-01 02:00:00";128,6
"2022-09-01 02:00:00";127,3
"2022-10-01 02:00:00";125,3
"2022-11-01 01:00:00";121,5
"2022-12-01 01:00:00";120,1
"2023-01-01 01:00:00";118,7
"2023-02-01 01:00:00";117,2
"2023-03-01 01:00:00";116,1
"2023-04-01 02:00:00";114,6
"2023-05-01 02:00:00";113,2
"2023-06-01 02:00:00";112,3
"2023-07-01 02:00:00";111,6
"2023-08-01 02:00:00";112
"2023-09-01 02:00:00";113,3
"2023-10-01 02:00:00";113,4
"2023-11-01 01:00:00";112,8
"2023-12-01 01:00:00";111,7
"2024-01-01 01:00:00";111,7
"2024-02-01 01:00:00";111,5
"2024-03-01 01:00:00";111,9
"2024-04-01 02:00:00";112,7
"2024-05-01 02:00:00";112,7
"2024-06-01 02:00:00";113,1
"2024-07-01 02:00:00";112,6
"2024-08-01 02:00:00";112,2
"2024-09-01 02:00:00";111,8
"2024-10-01 02:00:00";112,5
