Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
WZ08-A-03;Overall economy;2010;January;78.0;e;73.4;e;78.0;e;73.4;e;100.0;e;38.3;e
;;;February;78.0;e;73.0;e;78.0;e;73.1;e;100.0;e;38.3;e
;;;March;78.2;e;73.2;e;78.2;e;73.3;e;100.0;e;38.3;e
;;;April;78.2;e;73.4;e;78.3;e;73.5;e;100.0;e;38.3;e
;;;May;78.3;e;74.2;e;78.3;e;74.2;e;100.0;e;38.3;e
;;;June;78.3;e;87.1;e;78.3;e;86.5;e;100.0;e;38.3;e
;;;July;78.4;e;73.4;e;78.4;e;73.5;e;100.0;e;38.3;e
;;;August;78.4;e;73.5;e;78.4;e;73.5;e;100.0;e;38.3;e
;;;September;78.4;e;73.5;e;78.4;e;73.5;e;100.0;e;38.3;e
;;;October;78.4;e;73.7;e;78.4;e;73.8;e;100.0;e;38.3;e
;;;November;78.4;e;114.6;e;78.4;e;114.7;e;100.0;e;38.3;e
;;;December;78.4;e;77.3;e;78.4;e;77.3;e;100.0;e;38.3;e
;;2011;January;78.7;e;75.4;e;78.7;e;75.6;e;100.0;e;38.3;e
;;;February;78.7;e;74.0;e;78.7;e;74.1;e;100.0;e;38.3;e
;;;March;78.8;e;73.7;e;78.8;e;73.8;e;100.0;e;38.3;e
;;;April;79.4;e;74.3;e;79.4;e;74.4;e;100.0;e;38.3;e
;;;May;79.6;e;75.3;e;79.6;e;75.4;e;100.0;e;38.3;e
;;;June;79.6;e;88.0;e;79.7;e;87.5;e;100.0;e;38.3;e
;;;July;79.7;e;74.8;e;79.7;e;74.9;e;100.0;e;38.3;e
;;;August;79.8;e;74.7;e;79.8;e;74.9;e;100.0;e;38.3;e
;;;September;79.9;e;74.8;e;79.9;e;74.9;e;100.0;e;38.3;e
;;;October;79.9;e;76.0;e;79.9;e;76.1;e;100.0;e;38.3;e
;;;November;79.9;e;116.8;e;79.9;e;116.9;e;100.0;e;38.3;e
;;;December;79.9;e;78.3;e;79.9;e;78.4;e;100.0;e;38.3;e
;;2012;January;80.4;e;75.4;e;80.5;e;75.6;e;100.0;e;38.3;e
;;;February;80.5;e;75.3;e;80.5;e;75.4;e;100.0;e;38.3;e
;;;March;81.3;e;76.1;e;81.3;e;76.2;e;100.0;e;38.3;e
;;;April;81.4;e;76.1;e;81.4;e;76.3;e;100.0;e;38.3;e
;;;May;81.9;e;76.7;e;81.9;e;76.8;e;100.0;e;38.3;e
;;;June;82.1;e;90.2;e;82.1;e;89.6;e;100.0;e;38.3;e
;;;July;82.2;e;77.2;e;82.2;e;77.3;e;100.0;e;38.3;e
;;;August;82.3;e;77.0;e;82.3;e;77.1;e;100.0;e;38.3;e
;;;September;82.3;e;77.1;e;82.3;e;77.1;e;100.0;e;38.3;e
;;;October;82.3;e;78.7;e;82.4;e;78.7;e;100.0;e;38.3;e
;;;November;82.4;e;120.4;e;82.4;e;120.5;e;100.0;e;38.3;e
;;;December;82.4;e;81.0;e;82.4;e;81.0;e;100.0;e;38.3;e
;;2013;January;83.0;e;78.0;e;83.1;e;78.0;e;100.0;e;38.3;e
;;;February;83.1;e;77.8;e;83.1;e;77.9;e;100.0;e;38.3;e
;;;March;83.1;e;77.9;e;83.1;e;78.0;e;100.0;e;38.3;e
;;;April;83.1;e;78.0;e;83.1;e;78.0;e;100.0;e;38.3;e
;;;May;83.2;e;78.0;e;83.2;e;78.1;e;100.0;e;38.3;e
;;;June;83.3;e;91.7;e;83.3;e;91.2;e;100.0;e;38.3;e
;;;July;83.9;e;79.0;e;83.9;e;79.1;e;100.0;e;38.3;e
;;;August;84.4;e;79.4;e;84.5;e;79.4;e;100.0;e;38.3;e
;;;September;84.5;e;79.0;e;84.5;e;79.0;e;100.0;e;38.3;e
;;;October;84.5;e;79.4;e;84.5;e;79.5;e;100.0;e;38.3;e
;;;November;84.5;e;123.0;e;84.5;e;123.1;e;100.0;e;38.3;e
;;;December;84.5;e;83.0;e;84.5;e;83.0;e;100.0;e;38.3;e
;;2014;January;85.1;e;79.6;e;85.1;e;79.7;e;100.0;e;38.3;e
;;;February;85.1;e;79.6;e;85.2;e;79.7;e;100.0;e;38.3;e
;;;March;85.2;e;79.7;e;85.2;e;79.7;e;100.0;e;38.3;e
;;;April;85.2;e;79.9;e;85.2;e;80.0;e;100.0;e;38.3;e
;;;May;85.7;e;80.2;e;85.6;e;80.2;e;100.0;e;38.3;e
;;;June;85.8;e;94.0;e;85.8;e;93.3;e;100.0;e;38.3;e
;;;July;86.3;e;82.6;e;86.3;e;82.7;e;100.0;e;38.3;e
;;;August;86.5;e;81.7;e;86.6;e;81.8;e;100.0;e;38.3;e
;;;September;86.5;e;81.0;e;86.6;e;81.1;e;100.0;e;38.3;e
;;;October;86.7;e;83.2;e;86.7;e;83.2;e;100.0;e;38.3;e
;;;November;86.7;e;126.6;e;86.7;e;126.8;e;100.0;e;38.3;e
;;;December;86.8;e;85.3;e;86.8;e;85.3;e;100.0;e;38.3;e
;;2015;January;87.0;e;81.7;e;87.0;e;81.7;e;100.0;e;38.5;e
;;;February;87.0;e;81.8;e;87.0;e;81.8;e;100.0;e;38.5;e
;;;March;87.5;e;82.7;e;87.5;e;82.7;e;100.0;e;38.5;e
