Tabelle: 12612-0002
Live births: Germany, months, sex;;;;
Birth statistics;;;;;;;
Germany;;;;;;;
Live births (number);;;;;;;
;;Male;;Female;;Total;
1950;January;49505;e;46331;e;95836;e
;February;47177;e;44298;e;91475;e
;March;53604;e;49499;e;103103;e
;April;49606;e;46030;e;95636;e
;May;50932;e;47046;e;97978;e
;June;47795;e;44566;e;92361;e
;July;47377;e;44324;e;91701;e
;August;46297;e;43163;e;89460;e
;September;47342;e;44363;e;91705;e
;October;47370;e;43885;e;91255;e
;November;45319;e;42065;e;87384;e
;December;45867;e;42940;e;88807;e
1951;January;48747;e;45169;e;93916;e
;February;46034;e;43054;e;89088;e
;March;51546;e;47987;e;99533;e
;April;48568;e;45721;e;94289;e
;May;51257;e;47832;e;99089;e
;June;48082;e;44531;e;92613;e
;July;48104;e;45423;e;93527;e
;August;46619;e;44191;e;90810;e
;September;46892;e;43785;e;90677;e
;October;46144;e;43279;e;89423;e
;November;43521;e;40671;e;84192;e
;December;46185;e;43038;e;89223;e
1952;January;49430;e;45802;e;95232;e
;February;48218;e;45256;e;93474;e
;March;52374;e;48948;e;101322;e
;April;49339;e;46092;e;95431;e
;May;49970;e;46624;e;96594;e
;June;46570;e;43251;e;89821;e
;July;47445;e;44735;e;92180;e
;August;45717;e;43107;e;88824;e
;September;47560;e;44540;e;92100;e
;October;45077;e;41963;e;87040;e
;November;44318;e;41497;e;85815;e
;December;45134;e;42117;e;87251;e
1953;January;48762;e;45878;e;94640;e
;February;45993;e;42934;e;88927;e
;March;51863;e;48831;e;100694;e
;April;48983;e;45909;e;94892;e
;May;50261;e;47167;e;97428;e
;June;47266;e;43922;e;91188;e
;July;47554;e;44688;e;92242;e
;August;45574;e;42981;e;88555;e
;September;47423;e;44422;e;91845;e
;October;44129;e;41869;e;85998;e
;November;41667;e;38722;e;80389;e
;December;45454;e;42777;e;88231;e
1954;January;49374;e;45922;e;95296;e
;February;46442;e;44240;e;90682;e
;March;51116;e;47245;e;98361;e
;April;49118;e;46291;e;95409;e
;May;51948;e;48596;e;100544;e
;June;47975;e;44911;e;92886;e
;July;48350;e;45317;e;93667;e
;August;46817;e;44027;e;90844;e
;September;47434;e;44213;e;91647;e
;October;44235;e;41978;e;86213;e
;November;44121;e;41345;e;85466;e
;December;45629;e;43099;e;88728;e
1955;January;48920;e;45879;e;94799;e
;February;46908;e;43699;e;90607;e
;March;52337;e;49558;e;101895;e
;April;49525;e;45827;e;95352;e
;May;50317;e;47388;e;97705;e
;June;48065;e;45074;e;93139;e
;July;48073;e;44571;e;92644;e
;August;46829;e;44107;e;90936;e
;September;47581;e;44341;e;91922;e
;October;46060;e;43208;e;89268;e
;November;44361;e;41474;e;85835;e
;December;46103;e;43203;e;89306;e
1956;January;49009;e;45921;e;94930;e
;February;49507;e;46494;e;96001;e
;March;53872;e;50950;e;104822;e
;April;49671;e;47230;e;96901;e
;May;51840;e;48505;e;100345;e
;June;47419;e;44123;e;91542;e
;July;49070;e;46252;e;95322;e
;August;47689;e;44789;e;92478;e
;September;48296;e;45516;e;93812;e
;October;46313;e;43722;e;90035;e
;November;46094;e;42977;e;89071;e
;December;47347;e;44563;e;91910;e
1957;January;50451;e;46879;e;97330;e
;February;48828;e;45789;e;94617;e
;March;53725;e;50749;e;104474;e
;April;52096;e;48769;e;100865;e
;May;52779;e;49268;e;102047;e
;June;50134;e;47296;e;97430;e
;July;49613;e;46569;e;96182;e
;August;48667;e;45332;e;93999;e
;September;50597;e;47261;e;97858;e
;October;49181;e;45938;e;95119;e
;November;46610;e;43629;e;90239;e
;December;49360;e;46035;e;95395;e
1958;January;52132;e;49176;e;101308;e
;February;49458;e;45897;e;95355;e
;March;56123;e;52955;e;109078;e
;April;51114;e;47717;e;98831;e
;May;53326;e;49590;e;102916;e
;June;47464;e;44251;e;91715;e
;July;46900;e;44122;e;91022;e
;August;47978;e;45335;e;93313;e
;September;52771;e;49462;e;102233;e
;October;49695;e;46680;e;96375;e
;November;48541;e;45480;e;94021;e
;December;51593;e;48110;e;99703;e
1959;January;54487;e;50764;e;105251;e
;February;52466;e;49275;e;101741;e
;March;57974;e;54838;e;112812;e
;April;56064;e;52468;e;108532;e
;May;56215;e;52969;e;109184;e
;June;52798;e;49779;e;102577;e
;July;53562;e;50444;e;104006;e
;August;51909;e;48658;e;100567;e
;September;53143;e;50343;e;103486;e
;October;51763;e;48133;e;99896;e
;November;49188;e;46316;e;95504;e
;December;51808;e;48558;e;100366;e
1960;January;54289;e;50853;e;105142;e
;February;54491;e;51615;e;106106;e
;March;58142;e;55292;e;113434;e
;April;55235;e;52112;e;107347;e
;May;56559;e;53486;e;110045;e
;June;53514;e;51243;e;104757;e
;July;55055;e;51966;e;107021;e
;August;54661;e;51213;e;105874;e
;September;55039;e;51791;e;106830;e
;October;50500;e;47831;e;98331;e
;November;49407;e;46301;e;95708;e
;December;52036;e;48983;e;101019;e
1961;January;57282;e;54337;e;111619;e
;February;54611;e;51605;e;106216;e
;March;61385;e;58262;e;119647;e
;April;57799;e;54585;e;112384;e
;May;59034;e;55442;e;114476;e
;June;55192;e;51662;e;106854;e
;July;55718;e;52364;e;108082;e
;August;55341;e;52477;e;107818;e
;September;55993;e;52443;e;108436;e
;October;54632;e;52169;e;106801;e
;November;53178;e;50374;e;103552;e
;December;55252;e;52368;e;107620;e
1962;January;57507;e;54258;e;111765;e
;February;54228;e;51409;e;105637;e
;March;61044;e;57246;e;118290;e
;April;57159;e;54587;e;111746;e
;May;59400;e;56020;e;115420;e
;June;55868;e;52584;e;108452;e
;July;56392;e;53156;e;109548;e
;August;56563;e;53155;e;109718;e
;September;56523;e;53207;e;109730;e
;October;54500;e;51619;e;106119;e
;November;52876;e;50160;e;103036;e
;December;55223;e;51850;e;107073;e
1963;January;59825;e;57038;e;116863;e
;February;55824;e;52369;e;108193;e
;March;63946;e;60682;e;124628;e
;April;60164;e;56953;e;117117;e
;May;61515;e;58635;e;120150;e
;June;57072;e;53410;e;110482;e
;July;59068;e;55814;e;114882;e
;August;56941;e;53624;e;110565;e
;September;58532;e;54842;e;113374;e
;October;55583;e;52838;e;108421;e
;November;53425;e;50482;e;103907;e
;December;55091;e;51922;e;107013;e
1964;January;60261;e;57323;e;117584;e
;February;59063;e;55646;e;114709;e
;March;63123;e;59815;e;122938;e
;April;61452;e;57715;e;119167;e
;May;61107;e;57138;e;118245;e
;June;57453;e;54641;e;112094;e
;July;59240;e;55589;e;114829;e
;August;55726;e;53147;e;108873;e
;September;57926;e;54740;e;112666;e
;October;54266;e;51488;e;105754;e
;November;52192;e;49301;e;101493;e
;December;56237;e;52715;e;108952;e
1965;January;58109;e;54666;e;112775;e
;February;56247;e;53481;e;109728;e
;March;62501;e;58880;e;121381;e
;April;59027;e;56113;e;115140;e
;May;59906;e;56439;e;116345;e
;June;56585;e;53165;e;109750;e
;July;57310;e;54158;e;111468;e
;August;56368;e;52949;e;109317;e
;September;56812;e;52996;e;109808;e
;October;52678;e;49679;e;102357;e
;November;53217;e;49893;e;103110;e
;December;53440;e;50767;e;104207;e
1966;January;57833;e;54979;e;112812;e
;February;54757;e;51537;e;106294;e
;March;61847;e;58855;e;120702;e
;April;59040;e;55492;e;114532;e
;May;59914;e;57165;e;117079;e
;June;56831;e;54197;e;111028;e
;July;57308;e;54085;e;111393;e
;August;56192;e;53045;e;109237;e
;September;55401;e;52823;e;108224;e
;October;53428;e;50834;e;104262;e
;November;51877;e;48623;e;100500;e
;December;52625;e;49615;e;102240;e
1967;January;55945;e;52668;e;108613;e
;February;54409;e;51214;e;105623;e
;March;59393;e;56453;e;115846;e
;April;56508;e;53310;e;109818;e
;May;58481;e;55214;e;113695;e
;June;54465;e;51564;e;106029;e
;July;54834;e;52140;e;106974;e
;August;53510;e;50509;e;104019;e
;September;53679;e;50698;e;104377;e
;October;51989;e;49460;e;101449;e
;November;49281;e;47139;e;96420;e
;December;51155;e;48258;e;99413;e
1968;January;55605;e;52947;e;108552;e
;February;52939;e;50347;e;103286;e
;March;57358;e;54163;e;111521;e
;April;54526;e;51532;e;106058;e
;May;55418;e;52335;e;107753;e
;June;51951;e;48804;e;100755;e
;July;51798;e;49462;e;101260;e
;August;51503;e;48488;e;99991;e
;September;50574;e;48122;e;98696;e
;October;47302;e;44526;e;91828;e
;November;46159;e;43732;e;89891;e
;December;49240;e;46137;e;95377;e
1969;January;52989;e;50351;e;103340;e
;February;49130;e;45495;e;94625;e
;March;55019;e;51845;e;106864;e
;April;51422;e;48599;e;100021;e
;May;52103;e;49028;e;101131;e
;June;48146;e;45673;e;93819;e
;July;50273;e;47935;e;98208;e
;August;47492;e;44254;e;91746;e
;September;48165;e;45420;e;93585;e
;October;45407;e;43193;e;88600;e
;November;42868;e;40971;e;83839;e
;December;44429;e;42159;e;86588;e
1970;January;46129;e;43527;e;89656;e
;February;43563;e;41506;e;85069;e
;March;49334;e;46466;e;95800;e
;April;46787;e;44462;e;91249;e
;May;47123;e;44633;e;91756;e
;June;45829;e;43229;e;89058;e
;July;46282;e;44141;e;90423;e
;August;43555;e;41540;e;85095;e
;September;42161;e;39898;e;82059;e
;October;40898;e;38562;e;79460;e
;November;41394;e;38889;e;80283;e
;December;44867;e;42962;e;87829;e
1971;January;45369;e;43160;e;88529;e
;February;42462;e;40565;e;83027;e
;March;48058;e;45252;e;93310;e
;April;45463;e;42441;e;87904;e
;May;46004;e;43160;e;89164;e
;June;43373;e;41014;e;84387;e
;July;44381;e;41816;e;86197;e
;August;42007;e;39898;e;81905;e
;September;43021;e;40379;e;83400;e
;October;40968;e;38658;e;79626;e
;November;40128;e;37685;e;77813;e
;December;40127;e;38007;e;78134;e
1972;January;42287;e;40091;e;82378;e
;February;40865;e;38281;e;79146;e
;March;43491;e;41124;e;84615;e
;April;40724;e;38830;e;79554;e
;May;42112;e;39987;e;82099;e
;June;40674;e;38227;e;78901;e
;July;40168;e;37759;e;77927;e
;August;36897;e;34603;e;71500;e
;September;35228;e;33579;e;68807;e
;October;34205;e;32449;e;66654;e
;November;33144;e;31366;e;64510;e
;December;33677;e;31889;e;65566;e
1973;January;37084;e;35428;e;72512;e
;February;33694;e;32084;e;65778;e
;March;38035;e;35761;e;73796;e
;April;35461;e;33830;e;69291;e
;May;36693;e;34477;e;71170;e
;June;35722;e;33535;e;69257;e
;July;36745;e;34521;e;71266;e
;August;35035;e;33136;e;68171;e
;September;33977;e;32179;e;66156;e
;October;32855;e;31558;e;64413;e
;November;31768;e;29877;e;61645;e
;December;31830;e;30684;e;62514;e
1974;January;36052;e;34199;e;70251;e
;February;32431;e;30268;e;62699;e
;March;36896;e;35514;e;72410;e
;April;35149;e;33155;e;68304;e
;May;37396;e;35086;e;72482;e
;June;34171;e;32430;e;66601;e
;July;36066;e;34356;e;70422;e
;August;35213;e;33421;e;68634;e
;September;35087;e;33261;e;68348;e
;October;33021;e;31255;e;64276;e
;November;30857;e;29496;e;60353;e
;December;31171;e;29549;e;60720;e
1975;January;35419;e;33057;e;68476;e
;February;32215;e;30301;e;62516;e
;March;35292;e;33924;e;69216;e
;April;34706;e;32768;e;67474;e
;May;35199;e;33457;e;68656;e
;June;33599;e;31534;e;65133;e
;July;35285;e;33290;e;68575;e
;August;33734;e;31702;e;65436;e
;September;33366;e;31584;e;64950;e
;October;31496;e;29621;e;61117;e
;November;30366;e;28175;e;58541;e
;December;32113;e;30107;e;62220;e
1976;January;35468;e;33398;e;68866;e
;February;33013;e;31198;e;64211;e
;March;36268;e;34773;e;71041;e
;April;33975;e;31937;e;65912;e
;May;35261;e;33529;e;68790;e
;June;34362;e;32511;e;66873;e
;July;35360;e;33786;e;69146;e
;August;34870;e;32988;e;67858;e
;September;35449;e;33461;e;68910;e
;October;32666;e;31047;e;63713;e
;November;31065;e;30146;e;61211;e
;December;31992;e;29811;e;61803;e
1977;January;33862;e;31876;e;65738;e
;February;31856;e;30026;e;61882;e
;March;37077;e;34554;e;71631;e
;April;34613;e;32562;e;67175;e
;May;37351;e;34900;e;72251;e
;June;35518;e;33854;e;69372;e
;July;35481;e;33542;e;69023;e
;August;35019;e;33061;e;68080;e
;September;35409;e;33358;e;68767;e
;October;33717;e;31847;e;65564;e
;November;31998;e;30588;e;62586;e
;December;32748;e;30679;e;63427;e
1978;January;34632;e;32906;e;67538;e
;February;32778;e;31052;e;63830;e
;March;37219;e;34899;e;72118;e
;April;35575;e;33525;e;69100;e
;May;37335;e;35190;e;72525;e
;June;35164;e;33321;e;68485;e
;July;36345;e;33927;e;70272;e
;August;34425;e;32872;e;67297;e
;September;34865;e;32857;e;67722;e
;October;33345;e;31526;e;64871;e
;November;31238;e;29790;e;61028;e
;December;32945;e;30888;e;63833;e
1979;January;35051;e;33088;e;68139;e
;February;31833;e;30508;e;62341;e
;March;36080;e;34495;e;70575;e
;April;35196;e;33194;e;68390;e
;May;36700;e;34790;e;71490;e
;June;34261;e;32651;e;66912;e
;July;36684;e;34569;e;71253;e
;August;36282;e;33972;e;70254;e
;September;35982;e;34042;e;70024;e
;October;34615;e;33476;e;68091;e
;November;33211;e;31227;e;64438;e
;December;33695;e;31615;e;65310;e
1980;January;36705;e;35474;e;72179;e
;February;35035;e;32838;e;67873;e
;March;37532;e;35774;e;73306;e
;April;36925;e;34878;e;71803;e
;May;38406;e;36674;e;75080;e
;June;37108;e;35116;e;72224;e
;July;39615;e;37665;e;77280;e
;August;37650;e;35497;e;73147;e
;September;37493;e;35946;e;73439;e
;October;36751;e;34811;e;71562;e
;November;34581;e;32603;e;67184;e
;December;36347;e;34365;e;70712;e
1981;January;36999;e;34625;e;71624;e
;February;35324;e;33387;e;68711;e
;March;37744;e;36525;e;74269;e
;April;37108;e;34694;e;71802;e
;May;37023;e;35316;e;72339;e
;June;36807;e;35107;e;71914;e
;July;39386;e;37082;e;76468;e
;August;38447;e;36310;e;74757;e
;September;38641;e;36353;e;74994;e
;October;35556;e;34215;e;69771;e
;November;34030;e;32361;e;66391;e
;December;35475;e;33585;e;69060;e
1982;January;36996;e;35017;e;72013;e
;February;34498;e;32682;e;67180;e
;March;38619;e;36486;e;75105;e
;April;36338;e;34198;e;70536;e
;May;36708;e;34472;e;71180;e
;June;37219;e;34971;e;72190;e
;July;39211;e;36843;e;76054;e
;August;38428;e;35879;e;74307;e
;September;38425;e;36552;e;74977;e
;October;36466;e;34919;e;71385;e
;November;34186;e;33057;e;67243;e
;December;35665;e;33440;e;69105;e
1983;January;35742;e;33820;e;69562;e
;February;33739;e;32238;e;65977;e
;March;37050;e;35237;e;72287;e
;April;34954;e;32769;e;67723;e
;May;36971;e;34876;e;71847;e
;June;35917;e;33971;e;69888;e
;July;36966;e;34899;e;71865;e
;August;37097;e;35192;e;72289;e
;September;36330;e;34574;e;70904;e
;October;34336;e;32529;e;66865;e
;November;33009;e;30721;e;63730;e
;December;33328;e;31668;e;64996;e
1984;January;33903;e;32113;e;66016;e
;February;33697;e;31993;e;65690;e
;March;36079;e;34306;e;70385;e
;April;33779;e;31884;e;65663;e
;May;35880;e;33576;e;69456;e
;June;34591;e;32810;e;67401;e
;July;36793;e;34858;e;71651;e
;August;36392;e;34426;e;70818;e
;September;35241;e;33885;e;69126;e
;October;34754;e;33029;e;67783;e
;November;33093;e;31093;e;64186;e
;December;33045;e;31072;e;64117;e
1985;January;35238;e;33494;e;68732;e
;February;32443;e;30675;e;63118;e
;March;36463;e;34468;e;70931;e
;April;34842;e;33341;e;68183;e
;May;36220;e;33914;e;70134;e
;June;33609;e;31914;e;65523;e
;July;37041;e;35300;e;72341;e
;August;35886;e;33742;e;69628;e
;September;35985;e;34849;e;70834;e
;October;35038;e;33308;e;68346;e
;November;32239;e;30806;e;63045;e
;December;32244;e;30744;e;62988;e
1986;January;36092;e;34194;e;70286;e
;February;32929;e;31929;e;64858;e
;March;36056;e;34351;e;70407;e
;April;36747;e;34675;e;71422;e
;May;36820;e;34887;e;71707;e
;June;36301;e;33962;e;70263;e
;July;37850;e;36061;e;73911;e
;August;37441;e;35691;e;73132;e
;September;38737;e;36551;e;75288;e
;October;36449;e;35010;e;71459;e
;November;33570;e;31833;e;65403;e
;December;35909;e;34187;e;70096;e
1987;January;36824;e;34860;e;71684;e
;February;33835;e;32105;e;65940;e
;March;37506;e;35748;e;73254;e
;April;36371;e;34183;e;70554;e
;May;38401;e;35952;e;74353;e
;June;38873;e;36271;e;75144;e
;July;40467;e;37787;e;78254;e
;August;38884;e;36868;e;75752;e
;September;39145;e;36688;e;75833;e
;October;36381;e;34543;e;70924;e
;November;34428;e;32579;e;67007;e
;December;35556;e;33714;e;69270;e
1988;January;38597;e;36517;e;75114;e
;February;36463;e;34886;e;71349;e
;March;40007;e;38053;e;78060;e
;April;36287;e;34287;e;70574;e
;May;39308;e;37366;e;76674;e
;June;37574;e;35266;e;72840;e
;July;39883;e;37445;e;77328;e
;August;40345;e;38107;e;78452;e
;September;40338;e;38318;e;78656;e
;October;37395;e;35256;e;72651;e
;November;35810;e;33933;e;69743;e
;December;37044;e;34508;e;71552;e
1989;January;37352;e;35482;e;72834;e
;February;35654;e;33591;e;69245;e
;March;38413;e;36730;e;75143;e
;April;36557;e;34755;e;71312;e
;May;38645;e;36045;e;74690;e
;June;37356;e;35351;e;72707;e
;July;40219;e;38566;e;78785;e
;August;39951;e;37970;e;77921;e
;September;38310;e;36493;e;74803;e
;October;36860;e;35009;e;71869;e
;November;35409;e;33604;e;69013;e
;December;36860;e;35277;e;72137;e
1990;January;39234;e;36566;e;75800;e
;February;36029;e;34462;e;70491;e
;March;39674;e;36956;e;76630;e
;April;37435;e;35179;e;72614;e
;May;39290;e;37276;e;76566;e
;June;37519;e;35553;e;73072;e
;July;41660;e;39438;e;81098;e
;August;41787;e;39776;e;81563;e
;September;41315;e;39034;e;80349;e
;October;39337;e;37419;e;76756;e
;November;36269;e;34214;e;70483;e
;December;35830;e;34423;e;70253;e
1991;January;38031;e;35973;e;74004;e
;February;34060;e;32266;e;66326;e
;March;36410;e;34810;e;71220;e
;April;35147;e;33131;e;68278;e
;May;36050;e;34394;e;70444;e
;June;35707;e;33057;e;68764;e
;July;37951;e;36068;e;74019;e
;August;37087;e;35008;e;72095;e
;September;36931;e;35099;e;72030;e
;October;33731;e;32175;e;65906;e
;November;32314;e;30666;e;62980;e
;December;32679;e;31274;e;63953;e
1992;January;35636;e;33812;e;69448;e
;February;33973;e;32356;e;66329;e
;March;35256;e;33798;e;69054;e
;April;33213;e;31925;e;65138;e
;May;34485;e;33158;e;67643;e
;June;34577;e;32841;e;67418;e
;July;37326;e;35208;e;72534;e
;August;36600;e;34524;e;71124;e
;September;36228;e;34595;e;70823;e
;October;33091;e;31539;e;64630;e
;November;31490;e;29896;e;61386;e
;December;32932;e;30655;e;63587;e
1993;January;35537;e;34073;e;69610;e
;February;32408;e;30826;e;63234;e
;March;35206;e;33576;e;68782;e
;April;33527;e;31420;e;64947;e
;May;33721;e;31821;e;65542;e
;June;34543;e;32674;e;67217;e
;July;37064;e;34919;e;71983;e
;August;36284;e;34266;e;70550;e
;September;35860;e;34055;e;69915;e
;October;33279;e;31563;e;64842;e
;November;30972;e;29201;e;60173;e
;December;31670;e;29982;e;61652;e
1994;January;33328;e;31230;e;64558;e
;February;30938;e;28964;e;59902;e
;March;33835;e;31737;e;65572;e
;April;32863;e;31004;e;63867;e
;May;33736;e;31977;e;65713;e
;June;33661;e;31660;e;65321;e
;July;35173;e;32671;e;67844;e
;August;34318;e;32653;e;66971;e
;September;33514;e;32208;e;65722;e
;October;31945;e;30158;e;62103;e
;November;30659;e;29053;e;59712;e
;December;31899;e;30419;e;62318;e
1995;January;32995;e;30797;e;63792;e
;February;29935;e;29143;e;59078;e
;March;32931;e;31334;e;64265;e
;April;29693;e;28477;e;58170;e
;May;32011;e;29686;e;61697;e
;June;33492;e;31573;e;65065;e
;July;35583;e;33840;e;69423;e
;August;35244;e;33385;e;68629;e
;September;34431;e;32914;e;67345;e
;October;33708;e;32058;e;65766;e
;November;31332;e;29668;e;61000;e
;December;31374;e;29617;e;60991;e
1996;January;32691;e;31208;e;63899;e
;February;31892;e;30082;e;61974;e
;March;33349;e;31813;e;65162;e
;April;31623;e;30005;e;61628;e
;May;33092;e;31000;e;64092;e
;June;33889;e;31896;e;65785;e
;July;36898;e;34880;e;71778;e
;August;36667;e;34603;e;71270;e
;September;36565;e;34603;e;71168;e
;October;34821;e;33048;e;67869;e
;November;33175;e;31298;e;64473;e
;December;34551;e;32364;e;66915;e
1997;January;36208;e;34138;e;70346;e
;February;33225;e;31458;e;64683;e
;March;33768;e;32161;e;65929;e
;April;34525;e;32883;e;67408;e
;May;35634;e;33389;e;69023;e
;June;35704;e;33827;e;69531;e
;July;37883;e;35741;e;73624;e
;August;36393;e;34469;e;70862;e
;September;36147;e;34308;e;70455;e
;October;33966;e;32260;e;66226;e
