Tabelle: 12611-0002
Marriages, marriages per 1000 inhabitants: Germany, months;;;
Statistics of marriages;;;;;
Germany;;;;;
Year;Month;Marriages;;Marriages per 1000 inhabitants;
;;number;number;number;number
1990;January;15594;e;2.3;e
;February;20638;e;3.4;e
;March;36227;e;5.4;e
;April;37291;e;5.7;e
;May;69091;e;10.3;e
;June;67438;e;10.3;e
;July;48623;e;7.2;e
;August;64208;e;9.5;e
;September;52347;e;8.0;e
;October;38073;e;5.6;e
;November;29466;e;4.5;e
;December;37392;e;5.5;e
1991;January;14179;e;2.1;e
;February;17744;e;2.9;e
;March;29354;e;4.3;e
;April;29356;e;4.5;e
;May;67373;e;9.9;e
;June;45320;e;6.9;e
;July;43832;e;6.5;e
;August;57051;e;8.4;e
;September;48512;e;7.4;e
;October;39002;e;5.7;e
;November;25361;e;3.8;e
;December;37207;e;5.5;e
1992;January;14621;e;2.1;e
;February;19151;e;3.0;e
;March;26437;e;3.9;e
;April;35292;e;5.3;e
;May;54850;e;8.0;e
;June;50530;e;7.6;e
;July;51244;e;7.5;e
;August;50739;e;7.4;e
;September;49043;e;7.4;e
;October;38823;e;5.7;e
;November;24691;e;3.7;e
;December;38007;e;5.5;e
1993;January;13213;e;1.9;e
;February;16681;e;2.7;e
;March;25854;e;3.8;e
;April;32245;e;4.8;e
;May;56725;e;8.2;e
;June;48536;e;7.3;e
;July;49711;e;7.2;e
;August;50039;e;7.3;e
;September;49648;e;7.4;e
;October;36564;e;5.3;e
;November;23611;e;3.5;e
;December;39778;e;5.8;e
1994;January;13382;e;1.9;e
;February;16521;e;2.6;e
;March;28496;e;4.1;e
;April;28868;e;4.3;e
;May;59353;e;8.6;e
;June;48858;e;7.3;e
;July;48083;e;7.0;e
;August;49702;e;7.2;e
;September;53452;e;8.0;e
;October;30251;e;4.4;e
;November;23190;e;3.5;e
;December;40088;e;5.8;e
1995;January;13220;e;1.9;e
;February;15761;e;2.5;e
;March;27216;e;3.9;e
;April;27785;e;4.1;e
;May;59099;e;8.5;e
;June;54670;e;8.1;e
;July;43004;e;6.2;e
;August;48243;e;7.0;e
;September;50171;e;7.5;e
;October;31509;e;4.5;e
;November;21160;e;3.1;e
;December;38696;e;5.6;e
1996;January;11764;e;1.7;e
;February;16325;e;2.5;e
;March;25276;e;3.6;e
;April;26763;e;4.0;e
;May;58531;e;8.4;e
;June;48917;e;7.3;e
;July;42306;e;6.1;e
;August;54700;e;7.9;e
;September;44203;e;6.6;e
;October;35683;e;5.1;e
;November;23735;e;3.5;e
;December;39094;e;5.6;e
1997;January;13946;e;2.0;e
;February;16796;e;2.7;e
;March;22337;e;3.2;e
;April;29103;e;4.3;e
;May;56026;e;8.0;e
;June;45035;e;6.7;e
;July;47369;e;6.8;e
;August;54009;e;7.7;e
;September;41796;e;6.2;e
;October;35740;e;5.1;e
;November;21749;e;3.2;e
;December;38870;e;5.6;e
1998;January;13020;e;1.9;e
;February;15803;e;2.5;e
;March;22201;e;3.2;e
;April;30322;e;4.5;e
;May;48444;e;7.0;e
;June;41534;e;6.2;e
;July;50519;e;7.3;e
;August;53019;e;7.6;e
;September;43032;e;6.4;e
;October;35678;e;5.1;e
;November;22955;e;3.4;e
;December;40893;e;5.9;e
1999;January;12499;e;1.8;e
;February;15653;e;2.5;e
;March;23246;e;3.3;e
;April;28103;e;4.2;e
;May;48373;e;6.9;e
;June;42215;e;6.3;e
;July;47783;e;6.9;e
;August;46771;e;6.7;e
