Tabelle: 12711-0011
Migration between Germany and foreign countries:;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany, months, nationality, sex;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Germans;;;;;;;;;;;;;;;;;;Foreigners;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;
;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;
;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
2008;January;5327;p;7822;p;-2495;p;3837;p;6375;p;-2538;p;9164;p;14197;p;-5033;p;28251;p;26007;p;2244;p;16743;p;14125;p;2618;p;44994;p;40132;p;4862;p;33578;p;33829;p;-251;p;20580;p;20500;p;80;p;54158;p;54329;p;-171;p
;February;4070;p;6604;p;-2534;p;3107;p;5561;p;-2454;p;7177;p;12165;p;-4988;p;25644;p;24899;p;745;p;14875;p;14412;p;463;p;40519;p;39311;p;1208;p;29714;p;31503;p;-1789;p;17982;p;19973;p;-1991;p;47696;p;51476;p;-3780;p
;March;4399;p;7038;p;-2639;p;3088;p;5596;p;-2508;p;7487;p;12634;p;-5147;p;26509;p;27469;p;-960;p;16592;p;15322;p;1270;p;43101;p;42791;p;310;p;30908;p;34507;p;-3599;p;19680;p;20918;p;-1238;p;50588;p;55425;p;-4837;p
;April;4795;p;7066;p;-2271;p;3772;p;5800;p;-2028;p;8567;p;12866;p;-4299;p;31574;p;25159;p;6415;p;19305;p;12872;p;6433;p;50879;p;38031;p;12848;p;36369;p;32225;p;4144;p;23077;p;18672;p;4405;p;59446;p;50897;p;8549;p
;May;4503;p;6327;p;-1824;p;3455;p;5055;p;-1600;p;7958;p;11382;p;-3424;p;27517;p;21565;p;5952;p;16870;p;11229;p;5641;p;44387;p;32794;p;11593;p;32020;p;27892;p;4128;p;20325;p;16284;p;4041;p;52345;p;44176;p;8169;p
;June;5700;p;7840;p;-2140;p;4677;p;6538;p;-1861;p;10377;p;14378;p;-4001;p;30304;p;27741;p;2563;p;22596;p;15790;p;6806;p;52900;p;43531;p;9369;p;36004;p;35581;p;423;p;27273;p;22328;p;4945;p;63277;p;57909;p;5368;p
;July;6588;p;9269;p;-2681;p;5764;p;8302;p;-2538;p;12352;p;17571;p;-5219;p;30067;p;30356;p;-289;p;19831;p;21075;p;-1244;p;49898;p;51431;p;-1533;p;36655;p;39625;p;-2970;p;25595;p;29377;p;-3782;p;62250;p;69002;p;-6752;p
;August;5609;p;9831;p;-4222;p;4938;p;9130;p;-4192;p;10547;p;18961;p;-8414;p;28810;p;31547;p;-2737;p;20159;p;23840;p;-3681;p;48969;p;55387;p;-6418;p;34419;p;41378;p;-6959;p;25097;p;32970;p;-7873;p;59516;p;74348;p;-14832;p
;September;5359;p;9665;p;-4306;p;4464;p;8710;p;-4246;p;9823;p;18375;p;-8552;p;37377;p;33710;p;3667;p;28153;p;21070;p;7083;p;65530;p;54780;p;10750;p;42736;p;43375;p;-639;p;32617;p;29780;p;2837;p;75353;p;73155;p;2198;p
;October;4857;p;8678;p;-3821;p;3884;p;7389;p;-3505;p;8741;p;16067;p;-7326;p;34094;p;35459;p;-1365;p;25294;p;20835;p;4459;p;59388;p;56294;p;3094;p;38951;p;44137;p;-5186;p;29178;p;28224;p;954;p;68129;p;72361;p;-4232;p
;November;4185;p;6872;p;-2687;p;3205;p;5606;p;-2401;p;7390;p;12478;p;-5088;p;25805;p;35679;p;-9874;p;15783;p;20485;p;-4702;p;41588;p;56164;p;-14576;p;29990;p;42551;p;-12561;p;18988;p;26091;p;-7103;p;48978;p;68642;p;-19664;p
;December;4858;p;7495;p;-2637;p;3890;p;6190;p;-2300;p;8748;p;13685;p;-4937;p;18557;p;34249;p;-15692;p;13105;p;18235;p;-5130;p;31662;p;52484;p;-20822;p;23415;p;41744;p;-18329;p;16995;p;24425;p;-7430;p;40410;p;66169;p;-25759;p
2009;January;5168;p;7454;p;-2286;p;3818;p;6081;p;-2263;p;8986;p;13535;p;-4549;p;27300;p;28604;p;-1304;p;16733;p;16646;p;87;p;44033;p;45250;p;-1217;p;32468;p;36058;p;-3590;p;20551;p;22727;p;-2176;p;53019;p;58785;p;-5766;p
