"Month";"Turnover in retail trade"
"2010-01-01 01:00:00";78,1
"2010-02-01 01:00:00";76,9
"2010-03-01 01:00:00";93,2
"2010-04-01 02:00:00";88,4
"2010-05-01 02:00:00";87,3
"2010-06-01 02:00:00";88,1
"2010-07-01 02:00:00";91,4
"2010-08-01 02:00:00";85,6
"2010-09-01 02:00:00";88,6
"2010-10-01 02:00:00";93,1
"2010-11-01 01:00:00";93,6
"2010-12-01 01:00:00";107,4
"2011-01-01 01:00:00";81,4
"2011-02-01 01:00:00";80,5
"2011-03-01 01:00:00";92
"2011-04-01 02:00:00";93,9
"2011-05-01 02:00:00";92,6
"2011-06-01 02:00:00";87,6
"2011-07-01 02:00:00";90,6
"2011-08-01 02:00:00";90,1
"2011-09-01 02:00:00";91,4
"2011-10-01 02:00:00";94,6
"2011-11-01 01:00:00";96,1
"2011-12-01 01:00:00";109,5
"2012-01-01 01:00:00";84,5
"2012-02-01 01:00:00";84,2
"2012-03-01 01:00:00";97,8
"2012-04-01 02:00:00";91,3
"2012-05-01 02:00:00";93,9
"2012-06-01 02:00:00";93,4
"2012-07-01 02:00:00";91,3
"2012-08-01 02:00:00";91,9
"2012-09-01 02:00:00";90,4
"2012-10-01 02:00:00";98
"2012-11-01 01:00:00";98,4
"2012-12-01 01:00:00";108,3
"2013-01-01 01:00:00";87,6
"2013-02-01 01:00:00";82,4
"2013-03-01 01:00:00";96,2
"2013-04-01 02:00:00";94,9
"2013-05-01 02:00:00";95,5
"2013-06-01 02:00:00";92,4
"2013-07-01 02:00:00";96,1
"2013-08-01 02:00:00";93,4
"2013-09-01 02:00:00";91,4
"2013-10-01 02:00:00";98,7
"2013-11-01 01:00:00";100,8
"2013-12-01 01:00:00";109,4
"2014-01-01 01:00:00";89,5
"2014-02-01 01:00:00";84,8
"2014-03-01 01:00:00";96,4
"2014-04-01 02:00:00";98,8
"2014-05-01 02:00:00";97,7
"2014-06-01 02:00:00";92,5
"2014-07-01 02:00:00";97,1
"2014-08-01 02:00:00";92,7
"2014-09-01 02:00:00";94,2
"2014-10-01 02:00:00";100,8
"2014-11-01 01:00:00";98,5
"2014-12-01 01:00:00";113,5
"2015-01-01 01:00:00";91,3
"2015-02-01 01:00:00";86,6
"2015-03-01 01:00:00";100,2
"2015-04-01 02:00:00";99,1
"2015-05-01 02:00:00";98,1
"2015-06-01 02:00:00";99,1
"2015-07-01 02:00:00";102,5
"2015-08-01 02:00:00";95,4
"2015-09-01 02:00:00";98,6
"2015-10-01 02:00:00";104,9
"2015-11-01 01:00:00";103,5
"2015-12-01 01:00:00";120,7
"2016-01-01 01:00:00";91,7
"2016-02-01 01:00:00";92,8
"2016-03-01 01:00:00";102,5
"2016-04-01 02:00:00";103,8
"2016-05-01 02:00:00";100,9
"2016-06-01 02:00:00";101,7
"2016-07-01 02:00:00";101,1
"2016-08-01 02:00:00";99,8
"2016-09-01 02:00:00";100,1
"2016-10-01 02:00:00";105,8
"2016-11-01 01:00:00";109,1
"2016-12-01 01:00:00";125,5
"2017-01-01 01:00:00";96,8
"2017-02-01 01:00:00";93,2
"2017-03-01 01:00:00";110,1
"2017-04-01 02:00:00";106
"2017-05-01 02:00:00";109,2
"2017-06-01 02:00:00";106,1
"2017-07-01 02:00:00";105,6
"2017-08-01 02:00:00";104,2
"2017-09-01 02:00:00";106,7
"2017-10-01 02:00:00";106,4
"2017-11-01 01:00:00";115,9
"2017-12-01 01:00:00";127,6
"2018-01-01 01:00:00";100,6
"2018-02-01 01:00:00";95,4
"2018-03-01 01:00:00";113,7
"2018-04-01 02:00:00";109,7
"2018-05-01 02:00:00";110,3
"2018-06-01 02:00:00";112,3
"2018-07-01 02:00:00";108,8
"2018-08-01 02:00:00";108,2
"2018-09-01 02:00:00";105,6
"2018-10-01 02:00:00";115,1
"2018-11-01 01:00:00";120,4
"2018-12-01 01:00:00";127,1
"2019-01-01 01:00:00";105,3
"2019-02-01 01:00:00";101,1
"2019-03-01 01:00:00";113,1
"2019-04-01 02:00:00";117,4
"2019-05-01 02:00:00";115,9
"2019-06-01 02:00:00";111,7
"2019-07-01 02:00:00";116,4
"2019-08-01 02:00:00";112,8
"2019-09-01 02:00:00";109,9
"2019-10-01 02:00:00";118
"2019-11-01 01:00:00";124,6
"2019-12-01 01:00:00";131,3
"2020-01-01 01:00:00";109,4
"2020-02-01 01:00:00";109,1
"2020-03-01 01:00:00";116,3
"2020-04-01 02:00:00";112,7
"2020-05-01 02:00:00";122,3
"2020-06-01 02:00:00";120,8
"2020-07-01 02:00:00";124,8
"2020-08-01 02:00:00";118,4
"2020-09-01 02:00:00";120,2
"2020-10-01 02:00:00";131,2
"2020-11-01 01:00:00";134,1
"2020-12-01 01:00:00";140,3
"2021-01-01 01:00:00";100,7
"2021-02-01 01:00:00";102,9
"2021-03-01 01:00:00";133,4
"2021-04-01 02:00:00";119,6
"2021-05-01 02:00:00";122,1
"2021-06-01 02:00:00";131,3
"2021-07-01 02:00:00";127,3
"2021-08-01 02:00:00";120,5
"2021-09-01 02:00:00";121,7
"2021-10-01 02:00:00";130,3
"2021-11-01 01:00:00";140,8
"2021-12-01 01:00:00";147,8
"2022-01-01 01:00:00";119,3
"2022-02-01 01:00:00";118,7
"2022-03-01 01:00:00";138,6
"2022-04-01 02:00:00";135
"2022-05-01 02:00:00";136,9
"2022-06-01 02:00:00";130,9
"2022-07-01 02:00:00";133,4
"2022-08-01 02:00:00";130,8
"2022-09-01 02:00:00";134,7
"2022-10-01 02:00:00";135,4
"2022-11-01 01:00:00";147,1
"2022-12-01 01:00:00";153,9
"2023-01-01 01:00:00";125,4
"2023-02-01 01:00:00";121,8
"2023-03-01 01:00:00";142,2
"2023-04-01 02:00:00";133,7
"2023-05-01 02:00:00";141
"2023-06-01 02:00:00";140,5
"2023-07-01 02:00:00";137,1
"2023-08-01 02:00:00";134
"2023-09-01 02:00:00";134,1
"2023-10-01 02:00:00";139,2
"2023-11-01 01:00:00";149
"2023-12-01 01:00:00";152,8
"2024-01-01 01:00:00";127,7
"2024-02-01 01:00:00";127,6
"2024-03-01 01:00:00";142,7
"2024-04-01 02:00:00";140,3
"2024-05-01 02:00:00";141,1
"2024-06-01 02:00:00";136,6
"2024-07-01 02:00:00";142,3
"2024-08-01 02:00:00";138,8
"2024-09-01 02:00:00";136,4
"2024-10-01 02:00:00";147,1
