Tabelle: 12241-0001
EU-SILC - Persons in primary residence households: Germany,;;;;;;
years, household type, poverty or social exclusion;;;;;;
Income and living conditions (EU-SILC);;;;;;;;;;;
Germany;;;;;;;;;;;
;;Persons in primary residence households;;;;;;;;;
;;Total;;Persons at risk of poverty or exclusion;;Persons at risk of poverty;;Severely materially and socially deprived persons;;Persons in househ. w. very low employm. intensity;
;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
2020;Households without children;48183;e;9994;e;8383;e;1865;e;2506;e
;Persons living alone;16468;e;5535;e;4728;e;1212;e;1608;e
;Two adults without children;25660;e;3694;e;3081;e;516;e;728;e
;Three or more adults without children;6054;e;765;e;575;e;137;();170;()
;Households with children;33972;e;6741;e;4820;e;1720;e;2611;e
;Lone parents;3686;e;1729;e;1142;e;485;e;959;e
;Two adults with children;26350;e;4393;e;3234;e;1077;e;1441;e
;Three or more adults with children;3936;e;619;e;444;e;159;();211;()
;Total;82175;e;16735;e;13203;e;3585;e;5118;e
2021;Households without children;47793;e;9907;e;7911;e;1903;e;2857;e
;Persons living alone;17065;e;5652;e;4567;e;1194;e;1842;e
;Two adults without children;25374;e;3667;e;2938;e;598;e;841;e
;Three or more adults without children;5354;e;588;e;406;e;111;();174;e
;Households with children;34548;e;7342;e;5259;e;1660;e;3046;e
;Lone parents;3995;e;1781;e;1071;e;437;e;1082;e
;Two adults with children;26881;e;4848;e;3563;e;1139;e;1859;e
;Three or more adults with children;3673;e;714;e;625;e;/;;105;()
;Total;82347;e;17255;e;13175;e;3563;e;5903;e
2022;Households without children;47951;e;9957;e;7499;e;2504;e;3013;e
;Persons living alone;16804;e;5526;e;4319;e;1445;e;1907;e
;Two adults without children;25467;e;3754;e;2745;e;853;e;916;e
;Three or more adults without children;5680;e;678;e;435;e;207;e;190;e
;Households with children;35142;e;7586;e;4770;e;2623;e;3137;e
;Lone parents;4173;e;1948;e;1053;e;661;e;1182;e
;Two adults with children;27067;e;4990;e;3268;e;1728;e;1806;e
;Three or more adults with children;3902;e;647;e;449;e;233;e;149;()
;Total;83095;e;17543;e;12269;e;5127;e;6150;e
2023;Households without children;48260;e;10312;e;7503;e;2975;e;3107;e
;Persons living alone;17000;e;5845;e;4490;e;1658;e;1985;e
;Two adults without children;25584;e;3783;e;2628;e;1077;e;892;e
;Three or more adults without children;5676;e;684;e;385;e;240;e;231;e
;Households with children;35615;e;7574;e;4599;e;2806;e;3169;e
;Lone parents;4263;e;1918;e;1011;e;725;e;1132;e
;Two adults with children;27227;e;4938;e;3112;e;1804;e;1860;e
;Three or more adults with children;4125;e;718;e;476;e;277;e;176;()
;Total;83875;e;17886;e;12102;e;5781;e;6276;e
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:09:28
