Tabelle: 24911-0002
Suspects: Germany, years, nationality, sex;;;;
Police crime statistics;;;;;;;;
Germany;;;;;;;;
Suspects hav. attained the age of crim. responsib. (number);;;;;;;;
;Germans;;;;Foreigners;;;
;Male;;Female;;Male;;Female;
1993;992608;e;302768;e;552382;e;115741;e
1994;1028234;e;317113;e;491962;e;100342;e
1995;1083993;e;336442;e;479194;e;101857;e
1996;1127829;e;352794;e;494045;e;107615;e
1997;1157673;e;365165;e;494694;e;111768;e
1998;1185583;e;380122;e;487841;e;113575;e
1999;1170218;e;368350;e;459938;e;114008;e
2000;1203643;e;374272;e;450260;e;112363;e
2001;1215912;e;378039;e;433074;e;110541;e
2002;1252792;e;394033;e;431672;e;113107;e
2003;1289363;e;407290;e;420066;e;112083;e
2004;1322029;e;420022;e;412453;e;113994;e
2005;1299066;e;410503;e;392156;e;108271;e
2006;1284882;e;412278;e;376470;e;109011;e
2007;1300074;e;420170;e;366610;e;106017;e
2008;1341311;e;443316;e;364778;e;106288;e
2009;1228964;e;414785;e;343386;e;103455;e
2010;1190065;e;413756;e;350110;e;106912;e
2011;1153620;e;402655;e;360534;e;110434;e
2012;1132049;e;396061;e;376406;e;114153;e
2013;1104460;e;394762;e;402324;e;123339;e
2014;1084472;e;393993;e;465067;e;137677;e
2015;1033635;e;376182;e;694220;e;185628;e
2016;1003162;e;359999;e;705729;e;201306;e
2017;976637;e;349365;e;556843;e;154973;e
2018;954814;e;338813;e;538028;e;149008;e
2019;934986;e;332979;e;529045;e;149311;e
2020;928459;e;314791;e;508783;e;132843;e
2021;882333;e;322335;e;490260;e;128350;e
2022;908483;e;338685;e;593710;e;159809;e
__________
"Source: Federal Criminal Police Office, Wiesbaden

Suspects: Excluding road traffic offences."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 19:45:10
