Tabelle: 21111-0001
Pupils, school beginners, school leavers (graduates and;;;;
dropouts): Germany, school year, sex;;;;
Statistics of schools of general education;;;;;;;
Germany;;;;;;;
;;Pupils;;School beginners;;School leavers (graduates and dropouts);
;;number;number;number;number;number;number
Male;2000/01;5062891;e;419055;e;473494;e
;2001/02;5016905;e;401771;e;476530;e
;2002/03;4969732;e;413783;e;483269;e
;2003/04;4941969;e;433303;e;500920;e
;2004/05;4889799;e;422289;e;488378;e
;2005/06;4827968;e;424437;e;495349;e
;2006/07;4752521;e;408918;e;490750;e
;2007/08;4665698;e;398784;e;470905;e
;2008/09;4585692;e;378522;e;450770;e
;2009/10;4530217;e;374087;e;438204;e
;2010/11;4478503;e;364664;e;445008;e
;2011/12;4422817;e;365843;e;439463;e
;2012/13;4365544;e;353700;e;452410;e
;2013/14;4300144;e;355311;e;433207;e
;2014/15;4273386;e;365108;e;432245;e
;2015/16;4260021;e;361952;e;437367;e
;2016/17;4287541;e;370560;e;428564;e
;2017/18;4271084;e;372661;e;420072;e
;2018/19;4257975;e;374094;e;411765;e
;2019/20;4252413;e;377226;e;386082;e
;2020/21;4273854;e;384057;e;393046;e
;2021/22;4298584;e;394789;e;392165;e
;2022/23;4428296;e;416635;e;400989;e
;2023/24;4491942;e;425832;e;-;
Female;2000/01;4897556;e;392900;e;453358;e
;2001/02;4853540;e;378984;e;459877;e
;2002/03;4810545;e;391751;e;464618;e
;2003/04;4785065;e;410510;e;485397;e
;2004/05;4735055;e;398385;e;470107;e
;2005/06;4677273;e;397879;e;474249;e
;2006/07;4603336;e;384181;e;474294;e
;2007/08;4518113;e;373941;e;458626;e
;2008/09;4437880;e;356794;e;442791;e
;2009/10;4375583;e;352297;e;427112;e
;2010/11;4318391;e;342794;e;437905;e
;2011/12;4255379;e;345197;e;429327;e
;2012/13;4191335;e;334095;e;442924;e
;2013/14;4119967;e;334425;e;417514;e
;2014/15;4093280;e;345726;e;414067;e
;2015/16;4075040;e;342173;e;418244;e
;2016/17;4081972;e;350173;e;403243;e
;2017/18;4075623;e;352596;e;392094;e
;2018/19;4072479;e;354243;e;389046;e
;2019/20;4074471;e;356217;e;363864;e
;2020/21;4106913;e;365763;e;375145;e
;2021/22;4137634;e;375890;e;377246;e
;2022/23;4265053;e;396910;e;381434;e
;2023/24;4327552;e;405966;e;-;
Total;2000/01;9960447;e;811955;e;926852;e
;2001/02;9870445;e;780755;e;936407;e
;2002/03;9780277;e;805534;e;947887;e
;2003/04;9727034;e;843813;e;986317;e
;2004/05;9624854;e;820674;e;958485;e
;2005/06;9505241;e;822316;e;969598;e
;2006/07;9355857;e;793099;e;965044;e
;2007/08;9183811;e;772725;e;929531;e
;2008/09;9023572;e;735316;e;893561;e
;2009/10;8905800;e;726384;e;865316;e
;2010/11;8796894;e;707458;e;882913;e
;2011/12;8678196;e;711040;e;868790;e
;2012/13;8556879;e;687795;e;895334;e
;2013/14;8420111;e;689736;e;850721;e
;2014/15;8366666;e;710834;e;846312;e
;2015/16;8335061;e;704125;e;855611;e
;2016/17;8369513;e;720733;e;831807;e
;2017/18;8346707;e;725257;e;812166;e
;2018/19;8330457;e;728334;e;800811;e
;2019/20;8326884;e;733443;e;749946;e
;2020/21;8380767;e;749820;e;768191;e
;2021/22;8436221;e;770682;e;769411;e
;2022/23;8693344;e;813540;e;782423;e
;2023/24;8819489;e;831798;e;-;
__________
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:18:55
