Tabelle: 24911-0001
Criminal offences: Germany, years;;
Police crime statistics;;;;
Germany;;;;
;Registered criminal offences;;Cleared-up criminal offences;
;number;number;number;number
1993;6750613;e;2957135;e
1994;6537748;e;2899733;e
1995;6668717;e;3068379;e
1996;6647598;e;3255042;e
1997;6586165;e;3335016;e
1998;6456996;e;3376524;e
1999;6302316;e;3329124;e
2000;6264723;e;3335356;e
2001;6363865;e;3379618;e
2002;6507394;e;3425416;e
2003;6572135;e;3486685;e
2004;6633156;e;3596963;e
2005;6391715;e;3518567;e
2006;6304223;e;3492933;e
2007;6284661;e;3456485;e
2008;6114128;e;3353473;e
2009;6054330;e;3368879;e
2010;5933278;e;3322320;e
2011;5990679;e;3276153;e
2012;5997040;e;3259822;e
2013;5961662;e;3249396;e
2014;6082064;e;3336398;e
2015;6330649;e;3564811;e
2016;6372526;e;3584167;e
2017;5761984;e;3290725;e
2018;5555520;e;3206507;e
2019;5436401;e;3124161;e
2020;5310621;e;3100401;e
2021;5047860;e;2963643;e
2022;5628584;e;3226935;e
__________
"Source: Federal Criminal Police Office, Wiesbaden

Criminal offences: Excluding road traffic offences."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-11-23 / 20:24:04
